scenario_id,scenario_name,mechanism_id,mechanism_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association
SCN-bd5c068297e0,Friction — schedule_shift,BM-006,Friction,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-37f7e09be28f,Friction — process_delay,BM-006,Friction,"still waiting on the paperwork, just to double check, just making sure nothing got lost. TY",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-214a0188c06c,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,"just folowing up, any news on next steps? TY",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-76309e0cb936,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,Candidate mentioned a conversation with their current manager on last week. Later cited unrelated reason for withdrawal.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-fa4d297bfde2,Friction — work_arrangement,BM-006,Friction,"Good afternoon, wait, is this fully remote or do I need to come in sometimes?",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-cf5b4087a420,Friction — documentation,BM-006,Friction,Background check flagged for review - escalating with client. Nothing further to add right now.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-246063ed0992,Endowment Effect — candidate_questions,BM-010,Endowment Effect,"my current employer wants one weeks notice, is that going to be a problem?",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-655f1a283504,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"Good afternoon, just wanted to confirm aain whether the start date is completely locked. Best",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-05db971c0a87,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,Candidae mentioned a conversation with their current manager on last week. Later cited unrelated reason for withdrawal. Keeping an eye on this one.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-317effb06289,Friction — work_arrangement,BM-006,Friction,"wait, is this fully remote or do I need to come in sometimes?",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-e5ac40420335,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,just want to understand how stable this assignment is before I commit.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-5707511841eb,Friction — onboarding_process,BM-006,Friction,"Candidate asked several onboarding logistics questions, answered all of them.",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-347c64d3d3a4,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"just realized the commute is longer than I thought, thinking it through.",onboarding_docs_sent,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-b4a1b3fa9ebe,Friction — documentation,BM-006,Friction,"Sent candidate an update on offer letter timeline, they were understanding.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-5903ff1c33ba,Friction — documentation,BM-006,Friction,Background check flagged for review - escalating with client.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-3d465e093592,Friction — onboarding_process,BM-006,Friction,"Candidate asked several onboarding logistics questions, answered all of them. Will check in again in a few days.",client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-f1c1fd55404e,Friction — schedule_shift,BM-006,Friction,"Quick note - discussed shift schedule concerns with candidate, checked with client on flexibility.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-78811a190e5b,Friction — documentation,BM-006,Friction,"just checking, did the offer letter go out yet? TY",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-66816f1a1c1f,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"not totally sure how that interview went, I...",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-34e74bcbcc13,Friction — schedule_shift,BM-006,Friction,is there any flexibility on the shift start time?,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-66a6e17fbefc,Friction — onboarding_process,BM-006,Friction,Candidate confirmed all onboarding steps complete.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
